dining_hall,service,date,meal_type,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,total_carbohydrate,dietary_fiber,sugars,protein,scraped_at
Everybody Eats,ISR Everybody Eats Menu,,,Brown Sugar,Tablespoon (12g),45,0g,NA,NA,NA,0mg,NA,12g,NA,12g,0g,2025-11-04T01:21:37.539985
Everybody Eats,ISR Everybody Eats Menu,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T01:21:37.539978
Everybody Eats,ISR Everybody Eats Menu,,,Roasted Red Pepper & Gouda Soup,Cup (240g),300,22g,9g,0.5g,40mg,900mg,NA,18g,4g,13g,7g,2025-11-04T01:21:37.539959
Everybody Eats,ISR Everybody Eats Menu,,,Seedless Raisins,1/4 Cup (40g),110,0g,0g,0g,0mg,0mg,NA,29g,1g,21g,1g,2025-11-04T01:21:37.539975
Everybody Eats,ISR Everybody Eats Menu,,,White Rice,1/2 Cup (79g),100,0g,0g,NA,0mg,0mg,0mg,22g,0g,NA,4g,2025-11-04T01:21:37.539982
Everybody Eats,Ike Everybody Eats Menu,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T01:20:38.854561
Ikenberry Dining Center (Ike),Baked Expectations,,,Assorted Danish,Danish (43g),130,6g,3.5g,0g,25mg,125mg,NA,15g,<,5g,3g,2025-11-04T00:36:55.360645
Ikenberry Dining Center (Ike),Baked Expectations,,,Blueberry Muffin,Muffin (128g),420,22g,4g,0g,70mg,400mg,NA,52g,2g,26g,6g,2025-11-04T00:36:55.360545
Ikenberry Dining Center (Ike),Baked Expectations,,,Cake Donuts,1 Donut (45g),190,11g,2g,NA,10mg,300mg,23mg,21g,<,7g,2g,2025-11-04T00:36:55.360637
Ikenberry Dining Center (Ike),Baked Expectations,,,Double Dutch Muffin,Muffin (128g),460,26g,6g,NA,70mg,460mg,NA,54g,2g,32g,6g,2025-11-04T00:36:55.360625
Ikenberry Dining Center (Ike),Build Your Own,,,100% Wheat Bagel,Each (112g),290,2.5g,1g,0g,0mg,410mg,NA,60g,8g,8g,13g,2025-11-04T00:48:58.829848
Ikenberry Dining Center (Ike),Build Your Own,,,100% Whole Wheat Bread,Slice (30g),80,2g,0g,NA,0mg,200mg,113mg,15g,2g,NA,2g,2025-11-04T00:48:58.829919
Ikenberry Dining Center (Ike),Build Your Own,,,9-Grain Bread,Slice (28g),80,1g,0g,NA,0mg,150mg,63mg,14g,2g,3g,3g,2025-11-04T00:48:58.829890
Ikenberry Dining Center (Ike),Build Your Own,,,American Cheese Slice,Slice (19g),70,5g,3.5g,0g,20mg,270mg,NA,1g,0g,1g,3g,2025-11-04T00:48:58.830148
Ikenberry Dining Center (Ike),Build Your Own,,,Blueberry Bagel,6ct (680g),2000,14g,7g,0g,0mg,2790mg,NA,394g,14g,64g,64g,2025-11-04T00:48:58.829862
Ikenberry Dining Center (Ike),Build Your Own,,,Bread Fzn Sliced Wheat Gordon Choice,Slice (28g),70,0.5g,0g,0g,0mg,140mg,NA,14g,1g,2g,3g,2025-11-04T00:48:58.829946
Ikenberry Dining Center (Ike),Build Your Own,,,Cheddar Cheese,Slice (21g),80,7g,4g,0g,20mg,135mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830187
Ikenberry Dining Center (Ike),Build Your Own,,,Cinnamon Raisin Bagel,6ct (680g),2000,11g,3.5g,0g,0mg,2790mg,NA,401g,21g,79g,64g,2025-11-04T00:48:58.829876
Ikenberry Dining Center (Ike),Build Your Own,,,Cream Cheese,"1 oz (about 1"" cube) (28g)",100,9g,6g,0g,30mg,110mg,NA,<,0g,<,2g,2025-11-04T00:48:58.830209
Ikenberry Dining Center (Ike),Build Your Own,,,Deli Chicken Breast,1 Ounce Slice (28g),30,0.5g,0g,0g,15mg,270mg,NA,0g,0g,0g,6g,2025-11-04T00:48:58.830066
Ikenberry Dining Center (Ike),Build Your Own,,,Dill Pickle Slices,Tablespoon (14g),0,0g,0g,0g,0mg,130mg,NA,0g,0g,0g,0g,2025-11-04T00:48:58.830096
Ikenberry Dining Center (Ike),Build Your Own,,,English Muffins,Each (74g),170,1.5g,0g,0g,0mg,380mg,NA,31g,2g,1g,6g,2025-11-04T00:48:58.829833
Ikenberry Dining Center (Ike),Build Your Own,,,Green Leaf Lettuce,Leaf (7g),0,0g,0g,0g,0mg,0mg,14mg,0g,0g,0g,0g,2025-11-04T00:48:58.830082
Ikenberry Dining Center (Ike),Build Your Own,,,Halal Roast Beef,1oz Slice (28g),30,1g,0g,NA,15mg,250mg,65mg,0g,NA,NA,4g,2025-11-04T00:48:58.830012
Ikenberry Dining Center (Ike),Build Your Own,,,Halal Turkey Breast,1 Ounce Slice (28g),25,0.5g,0g,NA,10mg,280mg,NA,1g,0g,0g,4g,2025-11-04T00:48:58.830039
Ikenberry Dining Center (Ike),Build Your Own,,,Hard Salami,Ounce (28g),110,10g,4g,0g,35mg,450mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830053
Ikenberry Dining Center (Ike),Build Your Own,,,Hummus,1/4 Cup (60g),100,5g,0.5g,0g,0mg,75mg,3mg,9g,2g,2g,3g,2025-11-04T00:48:58.829984
Ikenberry Dining Center (Ike),Build Your Own,,,Ketchup,Tablespoon (17g),20,0g,0g,0g,0mg,160mg,NA,5g,0g,4g,0g,2025-11-04T00:48:58.830250
Ikenberry Dining Center (Ike),Build Your Own,,,Mayonnaise,Tablespoon (14g),100,11g,1.5g,0g,5mg,75mg,NA,0g,0g,0g,0g,2025-11-04T00:48:58.830275
Ikenberry Dining Center (Ike),Build Your Own,,,Mustard,Tablespoon (18g),0,0g,0g,0g,0mg,280mg,NA,0g,0g,0g,0g,2025-11-04T00:48:58.830223
Ikenberry Dining Center (Ike),Build Your Own,,,"Plain, Blueberry&Cinnamon Raisin Bagels",4oz Bagel (113g),280,1g,0g,0g,0mg,530mg,NA,60g,2g,10g,9g,2025-11-04T00:48:58.829960
Ikenberry Dining Center (Ike),Build Your Own,,,Provolone Cheese Slices,Slice (21g),70,6g,3.5g,0g,15mg,180mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830161
Ikenberry Dining Center (Ike),Build Your Own,,,Red Onion,3 Rings (18g),5,0g,0g,0g,0mg,0mg,21mg,1g,0g,<,0g,2025-11-04T00:48:58.830122
Ikenberry Dining Center (Ike),Build Your Own,,,Roasted Red Pepper Hummus,2 Tablespoons (30g),60,4g,0g,0g,0mg,170mg,NA,5g,1g,1g,2g,2025-11-04T00:48:58.829999
Ikenberry Dining Center (Ike),Build Your Own,,,Sauce BBQ Sweet Baby Rays No Sugar Added,Tablespoon (14g),10,0g,0g,0g,0mg,150mg,62mg,2g,0g,0g,0g,2025-11-04T00:48:58.830236
Ikenberry Dining Center (Ike),Build Your Own,,,Sliced Pepper Jack Cheese,Slice (21g),70,6g,3.5g,0g,20mg,120mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830135
Ikenberry Dining Center (Ike),Build Your Own,,,Sliced Sour Dough Bread,Slice (40g),100,2g,0g,0g,0mg,190mg,0mg,18g,0g,<,3g,2025-11-04T00:48:58.829685
Ikenberry Dining Center (Ike),Build Your Own,,,Sliced Swiss Cheese,Slice (19g),60,4.5g,2.5g,0g,15mg,200mg,NA,0g,0g,0g,4g,2025-11-04T00:48:58.830174
Ikenberry Dining Center (Ike),Build Your Own,,,Smoked Deli Ham,1 Ounce Slice (28g),30,1g,0.5g,0g,15mg,260mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830025
Ikenberry Dining Center (Ike),Build Your Own,,,Sweet Pickle Relish,Tablespoon (14g),10,0g,0g,0g,0mg,135mg,NA,2g,0g,2g,0g,2025-11-04T00:48:58.830262
Ikenberry Dining Center (Ike),Build Your Own,,,Tomatoes,1/2 Cup (119g),20,0g,0g,NA,0mg,5mg,NA,5g,1g,3g,1g,2025-11-04T00:48:58.830109
Ikenberry Dining Center (Ike),Build Your Own,,,Wheat Berry Bread,Slice (41g),100,1.5g,0g,0g,0mg,180mg,NA,20g,1g,3g,3g,2025-11-04T00:48:58.829799
Ikenberry Dining Center (Ike),Build Your Own,,,Wheat Berry Bread,Slice (28g),80,1g,0g,0g,0mg,130mg,0mg,14g,<,1g,2g,2025-11-04T00:48:58.829906
Ikenberry Dining Center (Ike),Build Your Own,,,White Sandwich Bread,1 Slice (43g),120,1.5g,0.5g,0g,<,230mg,NA,24g,1g,5g,4g,2025-11-04T00:48:58.829815
Ikenberry Dining Center (Ike),Build Your Own,,,White Sandwich Bread,Slice (57g),150,2g,0g,NA,0mg,310mg,66mg,28g,1g,NA,4g,2025-11-04T00:48:58.829933
Ikenberry Dining Center (Ike),Don,,,Avocado Ranch Chicken Breast,Each (182g),280,19g,8g,NA,100mg,610mg,24mg,6g,1g,NA,24g,2025-11-04T00:38:10.191861
Ikenberry Dining Center (Ike),Don,,,BBQ Pork Rib Tips,Ounce (28g),60,4g,1.5g,0g,15mg,240mg,81mg,1g,0g,0g,5g,2025-11-04T00:38:10.191876
Ikenberry Dining Center (Ike),Don,,,Gehl's Cheese Sauce,1/2 Cup (113g),130,9g,4.5g,0g,0mg,1020mg,NA,11g,0g,2g,0g,2025-11-04T00:38:10.191943
Ikenberry Dining Center (Ike),Don,,,Halal Herb Grilled Chicken Breast,Piece (108g),130,6g,1g,NA,60mg,540mg,7mg,0g,0g,0g,21g,2025-11-04T00:38:10.191853
Ikenberry Dining Center (Ike),Don,,,Hamburger Bun,Each (47g),130,2g,0g,0g,0mg,170mg,NA,25g,1g,4g,5g,2025-11-04T00:38:10.191663
Ikenberry Dining Center (Ike),Don,,,Normandy Blend Vegetables,1/2 Cup (113g),10,0g,0g,0g,0mg,10mg,NA,2g,1g,1g,0g,2025-11-04T00:38:10.191908
Ikenberry Dining Center (Ike),Don,,,Sauce BBQ Sweet Baby Rays No Sugar Added,Tablespoon (14g),10,0g,0g,0g,0mg,150mg,62mg,2g,0g,0g,0g,2025-11-04T00:38:10.191949
Ikenberry Dining Center (Ike),Don,,,Seasoned Curly Fries,3 oz (about 3/4 Cup) (86g),210,15g,3g,0g,0mg,390mg,NA,18g,2g,1g,2g,2025-11-04T00:38:10.191934
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Banana,Banana (180g),160,0.5g,0g,NA,0mg,0mg,644mg,41g,5g,22g,2g,2025-11-04T00:39:15.462899
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Fruit Tray,1/2 Cup (113g),50,0g,0g,NA,0mg,5mg,224mg,13g,1g,11g,<,2025-11-04T00:39:15.462910
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Grapefruit Halves,1/2 Fruit (118g),50,0g,0g,0g,0mg,0mg,159mg,13g,2g,8g,<,2025-11-04T00:39:15.462893
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Mullen's Applesauce,1/2 cup (126g),130,0g,0g,0g,0mg,40mg,91mg,26g,1g,31g,0g,2025-11-04T00:39:15.462916
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Navel Orange,Orange (140g),70,0g,0g,0g,0mg,0mg,232mg,18g,3g,12g,1g,2025-11-04T00:39:15.462904
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T00:39:15.462921
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Vanilla Greek Yogurt,1/2 Cup (113g),90,0g,0g,NA,5mg,50mg,NA,11g,0g,11g,11g,2025-11-04T00:39:15.462788
Ikenberry Dining Center (Ike),Euclid Street Deli,,,Yogurt Bar,5 oz (142g),250,2.5g,0.5g,NA,0mg,35mg,47mg,54g,4g,39g,3g,2025-11-04T00:39:15.462926
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Bacon,2 Strips (14g),20,1.5g,0.5g,0g,<,50mg,NA,0g,0g,0g,2g,2025-11-04T00:40:52.535892
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Brioche French Toast,Slice (143g),280,13g,7g,NA,170mg,480mg,39mg,30g,<,8g,11g,2025-11-04T00:40:52.535937
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Chorizo & Egg Breakfast Burrito,Burrito (212g),450,26g,10g,0g,410mg,960mg,205mg,26g,2g,2g,25g,2025-11-04T00:40:52.535929
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Hard Cooked Eggs,Each (50g),70,5g,1.5g,0g,180mg,70mg,NA,0g,0g,0g,6g,2025-11-04T00:40:52.535903
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,O'Brien Hashbrown Potatoes,1/2 Cup (154g),150,7g,0.5g,NA,0mg,130mg,559mg,22g,3g,2g,2g,2025-11-04T00:40:52.535987
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T00:40:52.535946
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Pancake Syrup,2 Tablespoon (40g),120,0g,0g,0g,0mg,0mg,NA,29g,0g,13g,0g,2025-11-04T00:40:52.536015
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Sauteed Peppers & Onions,1/2 Cup (63g),45,3.5g,0.5g,NA,0mg,135mg,104mg,4g,<,2g,<,2025-11-04T00:40:52.535955
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Scrambled Eggs,1/3 Cup (75g),150,11g,2.5g,0g,260mg,100mg,NA,0g,0g,0g,9g,2025-11-04T00:40:52.535858
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Tofu Scramble,1 Cup (205g),350,32g,2.5g,NA,0mg,800mg,282mg,13g,1g,3g,7g,2025-11-04T00:40:52.535920
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,Vegetarian Sausage Patties,Patty (38g),70,2.5g,0g,0g,0mg,250mg,NA,4g,1g,1g,9g,2025-11-04T00:40:52.535911
Ikenberry Dining Center (Ike),Gregory Drive Diner,,,White Rice,1/2 Cup (79g),100,0g,0g,NA,0mg,0mg,0mg,22g,0g,NA,4g,2025-11-04T00:40:52.535963
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,"6"" Yellow Corn Tortilla",Each (26g),70,0.5g,NA,NA,NA,NA,34mg,15g,1g,0g,1g,2025-11-04T00:45:12.703804
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Chimichurri Flank Steak,4 oz (128g),380,34g,6g,NA,55mg,140mg,2mg,0g,0g,0g,20g,2025-11-04T00:45:12.703845
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Fruit Tray,1/2 Cup (113g),50,0g,0g,NA,0mg,5mg,224mg,13g,1g,11g,<,2025-11-04T00:45:12.703826
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Heidi's Guacamole,1/4 Cup (70g),90,8g,1g,NA,0mg,60mg,22mg,6g,4g,0g,1g,2025-11-04T00:45:12.703887
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Illinois-Grown White Rice,1/2 Cup (92g),120,0g,0g,NA,0mg,0mg,0mg,26g,0g,NA,5g,2025-11-04T00:45:12.703863
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Mixed Vegetables,1/2 Cup (85g),60,0g,0g,0g,0mg,20mg,104mg,11g,3g,4g,2g,2025-11-04T00:45:12.703853
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Pinto Beans,4 oz (111g),100,0g,NA,NA,NA,140mg,5mg,19g,5g,1g,7g,2025-11-04T00:45:12.703871
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Pork Carnita,Pound (459g),1040,63g,24g,NA,370mg,430mg,1mg,2g,0g,1g,110g,2025-11-04T00:45:12.703733
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Salsa Cocina Mexicana,1/2 Cup (123g),20,0g,0g,NA,0mg,5mg,16mg,5g,1g,3g,1g,2025-11-04T00:45:12.703879
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Sweet Loren's Fudgy Brownie Cookies,Each (28g),110,5g,NA,NA,NA,85mg,57mg,17g,1g,10g,2g,2025-11-04T00:45:12.703815
Ikenberry Dining Center (Ike),Inclusive Solutions Kitchen at Ikenberry,,,Vegetable Chile Relleno,1 Pepper (271g),150,5g,2.5g,NA,NA,620mg,80mg,23g,3g,2g,3g,2025-11-04T00:45:12.703837
Ikenberry Dining Center (Ike),Penne Lane,,,Halal Italian Meat Sauce,1/2 Cup (109g),90,5g,2g,NA,15mg,260mg,72mg,5g,1g,3g,5g,2025-11-04T00:41:50.860905
Ikenberry Dining Center (Ike),Penne Lane,,,Herb Roasted Cauliflower,1/2 cup (124g),110,9g,0.5g,NA,0mg,210mg,347mg,6g,3g,3g,2g,2025-11-04T00:41:50.860887
Ikenberry Dining Center (Ike),Penne Lane,,,Marinara Sauce,1/4 Cup (64g),35,1g,0g,0g,0mg,270mg,NA,6g,1g,4g,1g,2025-11-04T00:41:50.860921
Ikenberry Dining Center (Ike),Penne Lane,,,Sister Schubert Rolls,Each (43g),180,4g,1g,0g,10mg,240mg,NA,23g,1g,4g,3g,2025-11-04T00:41:50.860547
Ikenberry Dining Center (Ike),Penne Lane,,,Spaghetti,1 Cup (142g),200,1g,0g,NA,0mg,70mg,44mg,40g,2g,<,7g,2025-11-04T00:41:50.860860
Ikenberry Dining Center (Ike),Prairie Fire,,,Cheese Sticks,Slice (78g),200,8g,4.5g,0g,15mg,480mg,NA,25g,<,2g,10g,2025-11-04T00:42:37.717261
Ikenberry Dining Center (Ike),Prairie Fire,,,Sausage Pizza,1/12 Slice (110g),260,13g,6g,0g,25mg,730mg,65mg,27g,1g,3g,13g,2025-11-04T00:42:37.717305
Ikenberry Dining Center (Ike),Prairie Fire,,,Three Cheese Pizza,Slice (96g),220,9g,5g,NA,20mg,580mg,67mg,27g,1g,3g,11g,2025-11-04T00:42:37.717296
Ikenberry Dining Center (Ike),Soytainly,,,Apple Crisp,1/2 Cup (106g),390,15g,3.5g,NA,NA,115mg,77mg,57g,7g,11g,8g,2025-11-04T00:43:41.234775
Ikenberry Dining Center (Ike),Soytainly,,,Illinois-Grown White Rice,1/2 Cup (92g),120,0g,0g,NA,0mg,0mg,0mg,26g,0g,NA,5g,2025-11-04T00:43:41.234933
Ikenberry Dining Center (Ike),Soytainly,,,Jain Sweet & Sour Tofu,1 Cup (171g),370,23g,3g,NA,0mg,190mg,120mg,28g,2g,7g,10g,2025-11-04T00:43:41.234846
Ikenberry Dining Center (Ike),Soytainly,,,Normandy Blend Vegetables,1/2 Cup (113g),10,0g,0g,0g,0mg,10mg,NA,2g,1g,1g,0g,2025-11-04T00:43:41.234920
Ikenberry Dining Center (Ike),Soytainly,,,Plant-Based Chicken Wrap,Wrap (191g),440,14g,5g,NA,0mg,980mg,443mg,56g,6g,1g,23g,2025-11-04T00:43:41.234871
Ikenberry Dining Center (Ike),Soytainly,,,Smoked Red Beans,Cup (287g),190,4g,0g,NA,0mg,600mg,587mg,30g,9g,6g,11g,2025-11-04T00:43:41.234928
Illinois Street Dining Center (ISR),Build Your Own,,,100% Wheat Bagel,Each (112g),290,2.5g,1g,0g,0mg,410mg,NA,60g,8g,8g,13g,2025-11-04T01:03:45.796757
Illinois Street Dining Center (ISR),Build Your Own,,,100% Whole Wheat Bread,Slice (30g),80,2g,0g,NA,0mg,200mg,113mg,15g,2g,NA,2g,2025-11-04T01:03:45.796820
Illinois Street Dining Center (ISR),Build Your Own,,,9-Grain Bread,Slice (28g),80,1g,0g,NA,0mg,150mg,63mg,14g,2g,3g,3g,2025-11-04T01:03:45.796799
Illinois Street Dining Center (ISR),Build Your Own,,,American Cheese Slice,Slice (19g),70,5g,3.5g,0g,20mg,270mg,NA,1g,0g,1g,3g,2025-11-04T01:03:45.796969
Illinois Street Dining Center (ISR),Build Your Own,,,Blueberry Bagel,6ct (680g),2000,14g,7g,0g,0mg,2790mg,NA,394g,14g,64g,64g,2025-11-04T01:03:45.796778
Illinois Street Dining Center (ISR),Build Your Own,,,Bread Fzn Sliced Wheat Gordon Choice,Slice (28g),70,0.5g,0g,0g,0mg,140mg,NA,14g,1g,2g,3g,2025-11-04T01:03:45.796837
Illinois Street Dining Center (ISR),Build Your Own,,,Cheddar Cheese,Slice (21g),80,7g,4g,0g,20mg,135mg,NA,0g,0g,0g,5g,2025-11-04T01:03:45.796998
Illinois Street Dining Center (ISR),Build Your Own,,,Cinnamon Raisin Bagel,6ct (680g),2000,11g,3.5g,0g,0mg,2790mg,NA,401g,21g,79g,64g,2025-11-04T01:03:45.796789
Illinois Street Dining Center (ISR),Build Your Own,,,Cream Cheese,"1 oz (about 1"" cube) (28g)",100,9g,6g,0g,30mg,110mg,NA,<,0g,<,2g,2025-11-04T01:03:45.797006
Illinois Street Dining Center (ISR),Build Your Own,,,Deli Chicken Breast,1 Ounce Slice (28g),30,0.5g,0g,0g,15mg,270mg,NA,0g,0g,0g,6g,2025-11-04T01:03:45.796912
Illinois Street Dining Center (ISR),Build Your Own,,,Dill Pickle Slices,Tablespoon (14g),0,0g,0g,0g,0mg,130mg,NA,0g,0g,0g,0g,2025-11-04T01:03:45.796930
Illinois Street Dining Center (ISR),Build Your Own,,,English Muffins,Each (74g),170,1.5g,0g,0g,0mg,380mg,NA,31g,2g,1g,6g,2025-11-04T01:03:45.796747
Illinois Street Dining Center (ISR),Build Your Own,,,Green Leaf Lettuce,Leaf (7g),0,0g,0g,0g,0mg,0mg,14mg,0g,0g,0g,0g,2025-11-04T01:03:45.796920
Illinois Street Dining Center (ISR),Build Your Own,,,Halal Roast Beef,1oz Slice (28g),30,1g,0g,NA,15mg,250mg,65mg,0g,NA,NA,4g,2025-11-04T01:03:45.796875
Illinois Street Dining Center (ISR),Build Your Own,,,Halal Turkey Breast,1 Ounce Slice (28g),25,0.5g,0g,NA,10mg,280mg,NA,1g,0g,0g,4g,2025-11-04T01:03:45.796895
Illinois Street Dining Center (ISR),Build Your Own,,,Hard Salami,Ounce (28g),110,10g,4g,0g,35mg,450mg,NA,0g,0g,0g,5g,2025-11-04T01:03:45.796903
Illinois Street Dining Center (ISR),Build Your Own,,,Hummus,1/4 Cup (60g),100,5g,0.5g,0g,0mg,75mg,3mg,9g,2g,2g,3g,2025-11-04T01:03:45.796857
